city,price,area,house type,rooms,bars,furniture,lift,parking,air condition
רמת גן,2250000,120,דירה,4,1,1,1, אין, בחדרים ובסלון
אשקלון,1390000,98,דירה,4,1,0,1, רחבה ציבורית, מיזוג מרכזי
רמלה,4000000,315,בית פרטי,7,0,0,0, אין, אין
כפר גנים ג,4150000,220,דירת גן,7,0,0,1, פרטית - מקורה, בחדרים ובסלון
בית שאן,1100000,131,דירה,4,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
רמלה,1750000,103,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,3800000,145,דירה,4.5,1,0,1, פרטית - מקורה, מיזוג מרכזי
בית אריה,2600050,150,בית פרטי,4,0,0,0, אין, בחדרים ובסלון
יפו,2200000,84,דירה,4,1,0,0, אין, בסלון
טבריה,795000,100,דירה,4.5,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
קרית אונו,2660000,120,דירה,4,1,0,1, חניה משותפת, בחדרים ובסלון
ערד,570000,82,דירה,3.5,0,1,0, אין, בסלון
פתח תקווה,3200000,320,בית פרטי,7,0,0,0, פרטית - לא מקורה, אין
באר שבע,2760000,187,קוטג,6,0,0,0, אין, בחדרים ובסלון
קרית ביאליק,1650000,126,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
טבריה,730000,97,דירה,3,1,1,1, פרטית - מקורה, מיזוג מרכזי
מבשרת ציון,3200000,120,דירה,4,0,1,1, פרטית - מקורה, מיני מרכזי
חיפה,700000,65,דירה,3,0,1,0, רחבה ציבורית, אין
גדרה,2900000,290,קוטג,5.5,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
 אור יהודה ,1950000,120,דירה,5,1,1,1, חניה משותפת, בחדרים ובסלון
יבנאל,690000,100,דירה,3,0,0,0, חניה משותפת, בחדרים ובסלון
חיפה,595000,55,דירה,2,1,0,0, אין, בחדרים ובסלון
כפר תבור,1950000,188,דו משפחתי,6,0,1,0, פרטית - מקורה, בחדרים
קרית שמונה,750000,95,דירה,4,0,1,0, אין, בחדרים ובסלון
צפת,1180000,120,קוטג,4.5,0,0,0, חניה משותפת, בחדרים ובסלון
מעלות תרשיחא,570000,72,דירה,3,0,1,0, ברחוב, בחדרים ובסלון
ירושלים,1600000,92,דירה,3.5,0,1,1, אין, בחדרים ובסלון
רחובות,1420000,90,דירה,3.5,0,0,0, ברחוב, בסלון
רכסים,2000100,170,דו משפחתי,7,1,0,0, אין, בחדרים ובסלון
חדרה,3000000,140,מיני פנטהאוז,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
בית שאן,320000,88,דירה,4,1,1,0, ברחוב, בחדרים
אשקלון,1550000,136,דירה,5,0,0,1, פרטית - לא מקורה, מיני מרכזי
מרחביה מושב,3100000,100,בית פרטי,4,0,0,0, פרטית - לא מקורה, אין
נתניה,1650000,86,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
חדרה,1350000,125,דירה,4,0,0,0, פרטית - מקורה, בחדרים ובסלון
קרית אונו,2270000,190,דו משפחתי,1,0,0,0, ברחוב, בחדרים ובסלון
פתח תקווה,6500000,600,דו משפחתי,5,0,0,0, ברחוב, בחדרים ובסלון
תל אביב יפו,3300000,77,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
חולון,2200000,100,דירה,4,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
קרית גת,660000,86,דירה,4,0,1,0, חניה משותפת, בחדרים ובסלון
קרית גת,780000,86,דירה,4,0,1,0, חניה משותפת, בחדרים ובסלון
כפר ורדים,3450000,250,בית פרטי,10,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,2480000,100,דירה,4,1,1,1, פרטית - מקורה, בחדרים ובסלון
רמת השרון,5200000,350,בית פרטי,2.5,0,0,0, אין, אין
בת  -ים,16000000,75,דירה,2,0,0,0, אין, בחדרים
בת -ים,1800000,72,דירה,2,0,0,0, אין, בחדרים
לוד,1290000,90,דירה,4,1,1,1, ברחוב, בחדרים ובסלון
חיפה,1190000,65,דירה,3.5,1,1,0, פרטית - לא מקורה, אין
חיפה,2485000,150,פנטהאוז,5,1,1,1, פרטית - לא מקורה, מיזוג מרכזי
חולון,1770000,75,דירה,3,0,0,1, חניה משותפת, בחדרים ובסלון
ראשון לציון,1520000,70,דירה,3,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
עפולה,1180000,150,דירה,5,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
מעלות תרשיחא,495000,90,דירה,4,0,0,0, רחבה ציבורית, בסלון
ראשון לציון,800000,500,מגרש למגורים,1,0,0,0, אין, אין
ירושלים,2100000,75,דירה,3.5,0,0,0, ברחוב, בחדרים ובסלון
אשק,1590000,158,דירה,5,1,1,1, פרטית - לא מקורה, מיני מרכזי
באר יעקב,4250000,270,דו משפחתי,7,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1600000,100,דירה,4,0,1,1, פרטית - לא מקורה, מיזוג מרכזי
חיפה,1600000,100,דירה,4,0,1,1, פרטית - לא מקורה, מיזוג מרכזי
נתניה,1680000,105,דירה,4,0,0,0, פרטית - מקורה, מיזוג מרכזי
בית שמש,2450000,188,קוטג,6,1,1,0, אין, בחדרים ובסלון
יהוד מונוסון,1650000,103,דירה,5,0,1,0, אין, בחדרים ובסלון
עפולה,1700000,180,בית פרטי,7,0,1,0, פרטית - לא מקורה, אין
קרית ביאליק,2150000,156,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
הרצליה,3600000,140,דירה,5,0,0,1, פרטית - מקורה, מפוצל
הרצליה,3000000,127,דירה,4,0,0,1, פרטית - מקורה, מפוצל
גבע בנימין (אדם),2400000,218,דופלקס,7,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
אור יהודה,1640000,125,דירה,6.5,1,0,0, אין, בחדרים ובסלון
אשקלון,1330000,100,דירה,4,1,0,1, פרטית - לא מקורה, מיזוג מרכזי
בני ברק,1600000,85,דירה,3,0,1,0, אין, בחדרים ובסלון
ירושלים,1800000,40,דירה,2,0,0,1, ברחוב, בסלון
אילת,1400000,100,דירה,4,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,3000000,120,מיני פנטהאוז,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
חיפה,1670000,100,דירה,4,1,0,0, אין, בחדרים ובסלון
תל אביב יפו,5000000,0,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
Tel Aviv,2900000,50,דירה,4,0,1,1, חניה משותפת, אין
קרית ביאליק,2200000,156,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,1600000,60,דירה,1,0,0,0, אין, בחדרים ובסלון
תל אביב יפו,6700000,140,דירה,5,0,0,1, פרטית - מקורה, מפוצל
תל אביב יפו,4300000,127,דירה,4,0,0,1, פרטית - מקורה, מפוצל
בית שאן,1100000,120,דירה,4,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
נהריה,1305000,102,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
עפולה,550000,78,דירה,3,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
מעלה אדומים,1300000,91,דירה,3.5,1,0,0, אין, בחדרים ובסלון
רמת גן,2290000,86,דירה,4,0,1,1, פרטית - מקורה, בסלון
חיפה,860000,85,דירה,3.5,0,1,0, אין, בחדרים ובסלון
קרית אתא,1540000,200,פנטהאוז,5,0,0,1, פרטית - מקורה, אין
אשקלון,790000,80,דירה,3,1,0,0, חניה משותפת, בחדרים ובסלון
ראשון לציון,1900000,106,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
קרית אונו,1900000,65,דירה,3,0,0,0, אין, בחדרים
תל אביב,4800,75,דירה,3,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,4850000,101,דירה,4,0,0,0, אין, אין
חיפה,750000,66,דירה,2.5,0,1,0, אין, בחדרים ובסלון
ראשון לציון,3850000,183,בית פרטי,6,0,1,0, פרטית - מקורה, בחדרים ובסלון
נתניה,900000,45,דירה,2.5,0,0,0, רחבה ציבורית, בחדרים ובסלון
אשקלון,2500000,224,בית פרטי,5,0,1,0, ברחוב, בחדרים ובסלון
קדימה צורן,2000000,240,דירת גן,4,0,0,0, רחבה ציבורית, בחדרים ובסלון
קרית אתא,1640000,140,דירה,5,1,0,1, פרטית - לא מקורה, מיני מרכזי
רמת גן,455000,17,דירה,1,1,1,0, אין, בסלון
בית שאן,420000,80,דירה,3.5,1,1,0, ברחוב, בחדרים ובסלון
נתניה,2100000,80,דירה,3.5,0,0,0, אין, אין
חיפה,77777,50,דירה,2,1,1,0, פרטית - לא מקורה, בסלון
ראשון לציון,1840000,96,דירה,3.5,0,0,1, פרטית - מקורה, בחדרים ובסלון
גבעת זאב,2550000,130,דירת גן,5,1,0,1, ברחוב, אין
נתניה,3600000,138,דירה,5,0,0,1, פרטית - מקורה, בחדרים
חולון,1550000,90,דירה,4,1,0,0, אין, בחדרים ובסלון
קרית ים,580000,60,דירת גג,4,0,1,0, רחבה ציבורית, בחדרים ובסלון
ראש פינה,3500000,1000,בית פרטי,6,0,0,0, פרטית - לא מקורה, בחדרים
נתניה,17000000,118,דירה,4,0,0,0, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,24000000,96,דופלקס,3,0,1,0, אין, אין
כפר יונה,2300000,132,וילה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
זכרון יעקב,3650000,200,דו משפחתי,6,1,0,0, פרטית - מקורה, בחדרים ובסלון
נהריה,0,0,דירה,4,0,0,1, פרטית - לא מקורה, מיני מרכזי
נהריה,0,106,דירה,4,0,0,0, חניה משותפת, מיני מרכזי
בני ברק,2100000,100,דירה,4.5,0,0,0, אין, אין
בני ברק,2100000,100,דירה,4.5,0,0,0, אין, אין
נתניה,1700000,100,מיני פנטהאוז,3,0,1,1, אין, בסלון
ירושלים,1950000,160,פנטהאוז,5.5,1,1,0, ברחוב, בחדרים ובסלון
רמת גן,2450000,114,דירה,4,0,0,1, פרטית - מקורה, אין
רמת גן,2630000,126,דירה,5,0,0,1, פרטית - מקורה, אין
אשדוד,1650000,107,דירה,4,1,1,1, פרטית - לא מקורה, בסלון
תל אביב יפו,4275000,74,דירה,2.5,0,0,1, פרטית - מקורה, בחדרים ובסלון
אופקים,1750000,550,וילה,6,1,1,0, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,4000000,185,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
ירושלים,2550000,86,דירה,4,1,0,1, אין, בסלון
באר שבע,940000,97,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,2500000,75,דירה,3,0,0,0, אין, בחדרים ובסלון
כפר סבא,2100000,90,דירה,4,0,1,1, רחבה ציבורית, מיני מרכזי
מדגל העמק,525000,70,דירה,3,1,1,0, אין, בחדרים ובסלון
ירושלים,1870000,70,דירת גג,4,1,0,0, ברחוב, בחדרים ובסלון
עפולה,0,500,בית פרטי,5,0,0,0, רחבה ציבורית, בחדרים
אופקים,740000,85,דירה,4,1,0,0, חניה משותפת, בחדרים ובסלון
ירושלים,5500000,127,דירת גן,5,1,0,0, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2550000,140,דירה,5,0,0,1, פרטית - מקורה, אין
חיפה,410000,29,דירה,1.5,1,1,0, אין, בסלון
רעננה,2300000,88,דירה,3,0,0,0, אין, בחדרים ובסלון
חולון,1320000,56,דירה,3,0,0,0, אין, בחדרים ובסלון
תל אביב יפו,2570000,85,דירה,3.5,0,0,0, אין, בחדרים ובסלון
שדה צבי,1600000,180,בית פרטי,6,0,0,0, אין, אין
רמת השרון,4750000,120,פנטהאוז,4,1,0,1, פרטית - מקורה, מיזוג מרכזי
שלומי,1100000,445,מגרש למגורים,7,0,0,0, אין, אין
תל אביב יפו,4000000,80,דירה,3,0,0,0, אין, בחדרים ובסלון
אשקלון,750000,60,דירה,3,0,0,0, חניה משותפת, בחדרים
נתניה,2300000,130,דירה,5,0,0,0, אין, אין
אופקים,860000,80,דירה,3,1,1,0, ברחוב, בחדרים ובסלון
ירושלים,1550000,70,דירה,3,1,1,0, אין, בחדרים ובסלון
חיפה,1400000,80,דירה,3.5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,5250000,109,דירה,4,0,1,1, פרטית - מקורה, מיני מרכזי
קרית מוצקין,780000,85,דירה,3,1,0,0, ברחוב, אין
קרית ביאליק,1250000,140,פנטהאוז,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
קרית ביאליק,1250000,140,פנטהאוז,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
ירוחם,855000,105,דירה,4,0,0,1, פרטית - לא מקורה, מיני מרכזי
ראשון לציון,1750000,84,דירה,4,1,0,0, פרטית - לא מקורה, בסלון
נתניה,1300000,86,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
ירושלים,1750000,75,דירה,3,1,1,0, ברחוב, בחדרים ובסלון
רחובות ,1850000,100,דירה,4.5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
דימונה,450000,95,דירה,4,1,0,0, ברחוב, מיזוג מרכזי
חולון,2300000,108,דירה,5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
באר יעקב,2390000,127,דירה,4,0,1,1, פרטית - לא מקורה, מיזוג מרכזי
לוד,2500000,147,פנטהאוז,5,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,1380000,42,דירה,2,0,0,1, אין, אין
נשר,900000,80,דירה,3,0,0,1, ברחוב, בסלון
תל אביב יפו,6700000,136,דירת גג,3.5,0,1,1, פרטית - מקורה, בחדרים
אופקים,778000,86,דירה,4,1,1,0, חניה משותפת, בחדרים ובסלון
חולון,1750000,85,דירה,3.5,0,1,0, פרטית - מקורה, בחדרים ובסלון
נס ציונה,3490000,137,דירה,5,0,1,1, פרטית - לא מקורה, מיני מרכזי
טבריה,545000,70,דירה,3,0,0,0, ברחוב, בחדרים ובסלון
אלפי מנשה,2500000,170,דו משפחתי,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
חולון,2180000,105,דירה,4.5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
חיפה,2485000,140,קוטג,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1020000,76,דירה,3.5,0,0,0, אין, בחדרים ובסלון
חיפה,1470000,120,דירה,5.5,0,0,1, אין, בחדרים ובסלון
עכו,275000,76,דירה,3,1,0,0, חניה משותפת, אין
תל אביב יפו,3690000,100,דירת גן,4,0,0,0, אין, בחדרים ובסלון
יוקנעם עילית,1799999,247,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
אשדוד,2320000,137,דירה,5,1,0,1, פרטית - מקורה, מיני מרכזי
אור יהודה,2400000,105,דירה,5,0,0,1, אין, אין
חולון,1850000,94,דירה,3.5,0,1,1, חניה משותפת, מפוצל
קרית אתא,650000,62,דירה,3,0,0,0, אין, אין
בני ברק,1590000,65,דירה,3.5,1,0,0, אין, בחדרים ובסלון
דימונה,619500,100,דירה,4,0,1,0, רחבה ציבורית, בחדרים ובסלון
קרית אונו,2000000,86,דירה,3,0,0,1, ברחוב, בחדרים ובסלון
נתניה,3500000,330,דירת גן,6,1,0,0, פרטית - מקורה, בחדרים ובסלון
רכסים,950000,76,דירה,2,0,0,0, אין, אין
רמלה,2349000,137,דירה,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2299000,114,דירה,5,0,0,0, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2869000,122,דירה,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,1849000,110,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,3850000,118,דירת גן,7,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
קרית עקרון,1950000,120,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
צפת,1300000,90,בית פרטי,3.5,0,1,0, אין, בחדרים ובסלון
חיפה,830000,58,דירה,3,0,1,0, אין, בחדרים ובסלון
בני עי,1800000,160,דו משפחתי,6.5,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,1720000,0,דירה,4,0,0,0, אין, אין
נצרת עילית,449000,49,דירה,2,0,1,0, אין, אין
קרית עקרון,1950000,120,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
באר שבע,2100000,180,דירה,6,0,0,1, פרטית - מקורה, מיזוג מרכזי
ירושלים,2280000,110,דירה,4.5,0,0,1, פרטית - מקורה, בחדרים ובסלון
בני ברק,1580000,77,דירה,3.5,1,0,0, אין, בחדרים ובסלון
נתניה,1750000,110,דירה,4,0,1,1, חניה משותפת, בחדרים ובסלון
רמלה,1800000,170,דופלקס,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
באר שבע,1450000,400,דירה,3,1,0,0, פרטית - מקורה, בחדרים ובסלון
חפצי בה,2980000,286,בית פרטי,8,0,0,0, פרטית - מקורה, בחדרים ובסלון
רמת גן,4480000,140,דו משפחתי,4,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
קרית עקרון,1830000,115,דופלקס,5.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
ערד,1650000,0,בית פרטי,5,0,1,0, פרטית - מקורה, בחדרים ובסלון
חיפה,1280000,95,דירה,4.5,1,0,0, אין, בסלון
תל אביב יפו,1100000,28,דירה,1,1,0,0, אין, אין
תל-אביב,1200000,25,דירה,1,1,0,0, אין, אין
ראשון לציון,2050000,90,דירה,1,0,0,1, פרטית - לא מקורה, מיני מרכזי
יהוד מונוסון,2385000,107,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
עפולה,1181000,144,דירה,5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
באר שבע,1450000,147,דירה,4.5,1,0,1, פרטית - מקורה, מיזוג מרכזי
אשדוד,26000000,0,דירה,6,0,0,1, פרטית - לא מקורה, בסלון
בת ים,1530000,80,דירה,3,1,0,0, אין, בחדרים ובסלון
ביתר עילית,2300000,175,דו משפחתי,4.5,1,0,0, אין, בחדרים ובסלון
הוד השרון,2300000,108,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
באר שבע,750000,54,דירה,3,1,0,0, אין, בחדרים ובסלון
רחובות,1900000,110,דופלקס,4.5,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,1990000,97,דירה,4.5,1,0,1, פרטית - מקורה, בחדרים ובסלון
אזור,2220000,94,דירה,4,1,0,1, פרטית - לא מקורה, מיזוג מרכזי
נתניה,2150000,164,מיני פנטהאוז,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
אשדוד,1320000,58,דירה,2.5,0,1,0, אין, בסלון
בני ברק,1690000,77,דירה,2.5,0,0,0, חניה משותפת, אין
רמת גן,1600000,60,דירה,2,0,1,0, אין, בחדרים ובסלון
אור יהודה,4200000,225,פנטהאוז,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
פתח תקווה,4300000,345,דו משפחתי,5,0,0,0, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2500000,110,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,2650000,105,דירה,3.5,0,0,1, ברחוב, בחדרים
קרית מלאכי,800000,84,דירה,4,1,0,0, חניה משותפת, אין
לוד,1150000,80,דירה,3,1,0,0, ברחוב, בחדרים ובסלון
אשקלון,1295000,100,דירה,5,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
פתח תקווה,1699000,96,דירה,4,1,1,1, חניה משותפת, בחדרים ובסלון
באר שבע,640000,72,דירה,3,1,1,0, אין, אין
פתח תקווה,2750000,160,פנטהאוז,6,1,1,1, פרטית - מקורה, בחדרים ובסלון
יקנעם,625000,50,דירה,2.5,0,1,0, חניה משותפת, בסלון
קרית אתא,1720000,150,דופלקס,5,1,0,0, פרטית - מקורה, מיזוג מרכזי
חולון ,2450000,150,דירה,4,0,0,1, אין, בחדרים ובסלון
בת ים,2790000,120,דירה,5,0,1,1, פרטית - מקורה, בחדרים ובסלון
ירושלים,2580000,138,דופלקס,5,0,0,1, פרטית - מקורה, אין
חצור הגלילית,500000,75,דירה,3,1,0,0, רחבה ציבורית, בחדרים ובסלון
אריאל,1590000,150,דופלקס,6,0,0,0, אין, מיזוג מרכזי
קרית ביאליק,2000000,200,קוטג,6,0,0,0, פרטית - מקורה, בחדרים ובסלון
ראשון לציון,2200000,114,דירה,4.5,1,1,1, רחבה ציבורית, בחדרים ובסלון
יירושלים,1720000,80,דירה,4,0,1,0, אין, אין
נהריה,1420000,110,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
רחובות,1400000,70,דירה,3,0,0,0, חניה משותפת, בחדרים ובסלון
ירושלים,1398000,60,דירה,3,0,1,0, רחבה ציבורית, בסלון
כפר סבא,1950000,110,דירה,3.5,0,0,1, אין, בחדרים ובסלון
באר שבע,640000,72,דירה,3,1,1,0, אין, אין
פתח תקווה,1950000,135,דירת גג,5,0,1,1, אין, בחדרים ובסלון
מגדל העמק,745000,100,דירה,4,1,0,0, אין, בחדרים ובסלון
באר שבע,790000,89,דירה,3.5,0,0,1, אין, מיזוג מרכזי
תל אביב יפו,5700000,128,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
כפר יונה,1680000,88,דירה,3,0,1,1, פרטית - לא מקורה, מיני מרכזי
אור עקיבא ,3130000,226,בית פרטי,9,1,1,0, פרטית - מקורה, בחדרים ובסלון
אור יהודה,1900000,120,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
רחובות,2150000,100,דירה,3.5,0,1,1, אין, בחדרים ובסלון
ק.מלאכי,750000,84,דירה,4,1,1,0, חניה משותפת, מיזוג מרכזי
רחובות,1670000,95,דירה,3.5,0,0,0, חניה משותפת, בחדרים ובסלון
ראשון לציון,1760000,90,דירה,4,1,0,0, פרטית - מקורה, בחדרים ובסלון
רחובות,1365000,100,דירה,3.5,1,0,0, אין, בחדרים ובסלון
גבעת אבני,760000,92,דירת גן,4,0,0,0, ברחוב, בחדרים ובסלון
ירושלים,2790000,89,דירה,4,0,0,1, חניה משותפת, בחדרים ובסלון
בת ים,1250000,55,דירה,2,0,0,0, אין, מיזוג מרכזי
אשקלון,2250000,110,דו משפחתי,5.5,1,1,0, אין, בחדרים ובסלון
טירת כרמל,1750000,127,דירה,5,0,1,0, פרטית - מקורה, מיני מרכזי
פתח תקווה,1725000,78,דירה,4,1,0,1, פרטית - מקורה, מיני מרכזי
ראשון לציון,2300000,115,דירה,4,1,1,1, פרטית - לא מקורה, מיני מרכזי
נהריה,1670000,120,דירה,5,0,0,1, פרטית - לא מקורה, מיני מרכזי
יהוד מונוסון,4689000,627,דו משפחתי,4.5,0,0,0, פרטית - לא מקורה, אין
נווה מיכאל,5200000,610,בית פרטי,10,1,0,0, פרטית - מקורה, בחדרים ובסלון
חיפה,2590000,132,דירה,6,1,0,0, אין, בחדרים ובסלון
באר שב,3000000,233,וילה,6,0,1,0, אין, מיזוג מרכזי
ירושלים,2600000,98,דירה,4,0,0,1, חניה משותפת, בחדרים ובסלון
מודיעין מכבים רעות,2950000,200,דירת גן,5,1,0,0, פרטית - מקורה, בחדרים ובסלון
נתניה,1500000,100,דירה,4,0,0,1, פרטית - מקורה, אין
עמנואל,599000,110,דירה,4,0,0,0, אין, בחדרים ובסלון
נתניה,1550000,105,דופלקס,4.5,0,1,0, ברחוב, מיני מרכזי
רמת גן,3490000,133,פנטהאוז,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
חדרה,2790000,120,בית פרטי,4,0,0,0, אין, אין
חולון,2360000,127,דירה,5,1,0,1, פרטית - לא מקורה, מיזוג מרכזי
אשדוד,1960000,139,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
חולון,2100000,140,דירה,5,0,0,0, אין, בחדרים ובסלון
תל אביב יפו,3950000,80,דירה,2.5,0,1,0, אין, בחדרים ובסלון
חולון,1850000,85,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
כרמיאל,1890000,170,פנטהאוז,5,0,0,1, פרטית - לא מקורה, מיני מרכזי
מצפה שלם,2500000,500,בית פרטי,6,1,1,0, פרטית - מקורה, בחדרים ובסלון
קירית ים,650000,120,דירת גן,3.5,1,1,0, אין, אין
אשדוד,4350000,600,וילה,10,1,0,0, ברחוב, בחדרים ובסלון
נתניה,1870000,148,דופלקס,4.5,0,0,0, חניה משותפת, בחדרים ובסלון
יד חנה,3050000,140,דו משפחתי,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
קרית חיים,950000,100,דירה,4,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
לוד,2200000,0,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
קרית ים,1200000,118,דירה,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
רמת גן,4650000,180,דירת גן,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
לוד,1058000,64,דירה,3,0,1,0, פרטית - מקורה, מיזוג מרכזי
reפתח תקווה,2030000,97,דירה,4,1,0,1, פרטית - לא מקורה, מיני מרכזי
ראשון לציון,1950000,85,דירה,3,1,1,1, פרטית - לא מקורה, מיני מרכזי
עפולה עילית,610000,70,דירה,3,1,1,0, אין, בחדרים ובסלון
באר שבע,1760000,145,קוטג,5,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
צור יצחק,1900000,148,דירה,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
ראשון לציון,2750000,107,דירת גג,4,0,0,1, פרטית - מקורה, אין
קרית גת,1250000,110,דירה,4,1,0,1, פרטית - לא מקורה, מיני מרכזי
חוקוק,3500000,260,בית פרטי,9,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
אשקלון,1435000,112,דופלקס,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
טבריה,595000,100,דירה,4.5,0,1,0, ברחוב, בחדרים ובסלון
אשדוד,2350000,171,דירה,5,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
אור יהודה,1790000,103,דירה,3,0,0,1, פרטית - מקורה, בסלון
רמת גן,3400000,129,דירה,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
אור עקיבא,900000,87,דירה,4,0,0,0, אין, בחדרים ובסלון
אשקלון,3700000,246,פנטהאוז,5,0,1,1, פרטית - מקורה, בחדרים ובסלון
קרית חיים,1190000,140,פנטהאוז,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
חדרה,2150000,142,דירה,5,0,0,1, פרטית - לא מקורה, אין
ירושלים,1900000,115,דירה,4,0,0,0, אין, בחדרים ובסלון
טבריה,950000,160,דירה,5,1,0,0, ברחוב, בחדרים ובסלון
טבריה,950000,160,דירה,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
יהוד מונוסון,1645000,107,דירה,1,1,1,0, רחבה ציבורית, בחדרים ובסלון
אור יהודה,2290000,75,דירה,3,0,0,1, פרטית - לא מקורה, אין
ירושלים,1600000,58,דירה,3,1,0,0, אין, בסלון
טירת כרמל,979000,83,דירה,3.5,1,0,0, אין, בחדרים ובסלון
ירושלים,2780000,78,דירה,3,0,0,1, אין, אין
עפולה,1200000,112,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
קרית גת,650000,72,דירה,3.5,0,1,0, חניה משותפת, בחדרים ובסלון
פתח תקווה,1550000,100,דירה,3.5,1,0,0, פרטית - לא מקורה, בסלון
נשר,1475000,100,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
אור יהודה,2160000,127,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
